text,language,label,lingua_label,confidence,needs_review,filter_note,llm_language,label_source,_has_kz,_has_ru_cyr
"Техника батпай жатса, қиын екен. Тезірек өшірсе ғой ",kz,,mixed,1.0,False,,kz,manual,True,True
"мм, ертеңгі ауа райы қиын болайын деп тұр екен, сақ болу керек",kz,,mixed,1.0,False,,kz,manual,True,True
"е технология дамып жатыр, ыңғайлы шешім сияқты",kz,,mixed,1.0,False,,kz,manual,True,True
"Жақсы, что у нас теперь есть крематорий, будет альтернатива традиционным похоронам в Алматы",mixed,,mixed,1.0,False,,kz,manual,True,True
"Грозы, град, шквал... Көктем келсе де, ауа райы бізді сынап жатыр ",mixed,,mixed,1.0,False,,kz,manual,True,True
жақсы бастама екен энергетику дамыту маңызды ,kz,,mixed,1.0,False,,kz,manual,True,True
"Жақсы бастама, Шымкентте демалу да керемет идея екен! ",kz,,mixed,1.0,False,,kz,manual,True,True
"Пока нефть дорожает, бензин у нас тоже подскочит, мұнайдың бағасы көтерілсе.",mixed,,mixed,1.0,False,,kz,manual,True,True
"мм, жиналып дұрыс шешім қабылдайды деп сенемін",kz,,mixed,1.0,False,,kz,manual,True,True
"мм, қызық жағдай, АҚШ бюджетін жақсы жарататын сияқты",kz,,mixed,1.0,False,,kz,manual,True,True
тегін қойыңдар сонда ешқандай эвакуация болмайды ,kz,,mixed,1.0,False,,kz,manual,True,True
"пайдаланушылар саны 1 млн асыпты, жақсы көрсеткіш екен",kz,,mixed,1.0,False,,kz,manual,True,True
"Хорошо, что следим за безопасностью, радиация — дело серьёзное, балаларымыз үшін тыныш болу керек",mixed,,mixed,1.0,False,,kz,manual,True,True
"Жақсы стратегия, студенттер көптеп келсе экономикамызға пайда текелей келеді",kz,,mixed,1.0,False,,kz,manual,True,True
Дурыс барлығын тексерсе Чси ды.,kz,,mixed,1.0,False,,kz,manual,True,True
"Жақсы, подготовимся тогда к такой погоде ",mixed,,mixed,1.0,False,,kz,manual,True,True
"Сам кінәлі, заң бәріне бірдей.",kz,,mixed,1.0,False,,kz,manual,True,True
"Жол жақсы болса, аймаққа пайдасы зор болады. Самый раз, күтеміз!",mixed,,mixed,1.0,False,,kz,manual,True,True
"мм, сақ болайық е бәріміз, ауа райы құбылып тұр ғой",kz,,mixed,1.0,False,,kz,manual,True,True
"А ведь ақырын ақырын дамытып барамыз,  ия?",mixed,,mixed,1.0,False,,kz,manual,True,True
Цифровизация жақсы қадам сияқты. Халықаралық байланысымыз арта түседі.,kz,,mixed,1.0,False,,kz,manual,True,True
"VIP гоншиктерге керек дүние, 30 жыл рөлдемін, домкрат , запаска, тросс дәрет алатын су болса болды.",kz,,mixed,1.0,False,,kz,manual,True,True
"Жақсы жаңалық, осы бағытта даму керек. Умный город деген жақсы ғой, өмірімізді жеңілдетеді. Технологияға инвестиция салып, болашаққа дайындық жасау дұрыс бағыт.",mixed,,mixed,1.0,False,,kz,manual,True,True
"Күтейік, анықталатын сияқты. Процесс жүріп жатыр ғо, асықпаңдар.",kz,,mixed,1.0,False,,kz,manual,True,True
"Сабыр, процесс жүріп жатыр ғо. Экономика қалпына келіп, тұрақты өсу байқалады. Енді осы қарқынмен үздіксіз даму керек.",kz,,mixed,1.0,False,,kz,manual,True,True
Ата анасына шын жүректен көңіл айтамын. Алдын ала қорытынды жасамайық. Құзырлы органдармен сот шешімін күту дұрыс болар.,kz,,mixed,1.0,False,,kz,manual,True,True
"Марқұмның туған-туыстары мен жақындарына шын жүректен көңіл айта мын. Қазір ашық тергеу жүргізіліп жатыр, нақты себептері әзірге белгісіз. Асығыс қорытынды жасамай, тексеру нәтижесі мен сот шешімін күту керек деп ойлаймын.",kz,,mixed,1.0,False,,kz,manual,True,True
"Күтіп көрейік, полиция процесс жүргізіп жатқан сияқты. Барлық күдікті тексеріліп жатқан шығар.",kz,,mixed,1.0,False,,kz,manual,True,True
КЕРЕМЕТ Алға Рыбакина Алға Қазақстан Республикасы в полуфинале обырыграла тенисистку из росии,mixed,,mixed,1.0,False,,kz,manual,True,True
"Елена кутты болсың, Алға Қазахстаң! Заслуженная победа, скромная воспитанная красавица!",mixed,,mixed,1.0,False,,kz,manual,True,True
"Елена Алға! Молодец , құтты болсың!!!",mixed,,mixed,1.0,False,,kz,manual,True,True
Рыбакина наша  Алға Қазақстан Республикасы сделай россиянку под ноль!,mixed,,mixed,1.0,False,,kz,manual,True,True
"Отлично, молодцы девчата, спорт арқылы ел абыройы артып жатыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Жақсы нәтиже, спорт арқылы ел абыройы өседі",kz,,mixed,1.0,False,,kz,manual,True,True
"Поздравляем наших боксеров! Жарайсыңдар, нағыз мықтылар ғой! ",mixed,,mixed,1.0,False,,kz,manual,True,True
"Не болды енді, жастайынан өз өмірлеріне балта шауып. Мына криминалды романтикалауды шектеу керек. Сол блатной романтикамен өскен балалар шығар.",mixed,,mixed,1.0,False,,kz,manual,True,True
Пожарный датчик шынымен қажет екен. Құтқарды ғой отбасын.,mixed,,mixed,1.0,False,,kz,manual,True,True
Машина басып өтті ғой травма жоқ дейді,mixed,,mixed,1.0,False,,kz,manual,True,True
"Қанша адамды басып кетті емеспе машинамен, қалай пострадавших нет деп айтады?",mixed,,mixed,1.0,False,,kz,manual,True,True
Но удачи пожелать можно. Іске сәт.,mixed,,mixed,1.0,False,,kz,manual,True,True
"Торговля жақсы дамып жатыр, инвестиция мен цифрландыру маңызды болғаны дұрыс",mixed,,mixed,1.0,False,,kz,manual,True,True
"классно, что молодежь кітап оқуға қайта құмар болып жатыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"космос керемет ғой, адамға шабыт береді әрдайым",mixed,,mixed,1.0,False,,kz,manual,True,True
"Оперативно решают, маршрутов много, всех қайтарып жатыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Порядок видно, полиция жұмыс істеп жатыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Связались с соседями, бәрін бақылауда ұстап отыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Президент сам процесс бақылап отырғаны жақсы, жауапкершілік бар екенін көрсетеді",mixed,,mixed,1.0,False,,kz,manual,True,True
Людям реально қолдау көрсетіліп жатыр,mixed,,mixed,1.0,False,,kz,manual,True,True
"Хорошо, что заранее бәрін ұйымдастырып жатыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Главное — эскалация болмаса екен, тыныштық керек",mixed,,mixed,1.0,False,,kz,manual,True,True
"Число азайыпты, бәрібір бақылауда ұстап отыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Главное — чтобы дальше соғыс ушықпаса, тыныштық керек",mixed,,mixed,1.0,False,,kz,manual,True,True
"Главное — мир керек, соғыс ұзағынан созылмаса екен",mixed,,mixed,1.0,False,,kz,manual,True,True
"Все равно қадағалап жатыр, енді бәрін тексереді",mixed,,mixed,1.0,False,,kz,manual,True,True
Ужас какой құдай сақтасын ,mixed,,mixed,1.0,False,,kz,manual,True,True
"Посольство на связи, қадағалап отыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Красава парни, осындай жеңістер елдің атын шығарады",mixed,,mixed,1.0,False,,kz,manual,True,True
"Расследуют енді, бәрібір ашық айтады ғой",mixed,,mixed,1.0,False,,kz,manual,True,True
"Молодец, Нацгвардия да технологиядан қалыспай келеді",mixed,,mixed,1.0,False,,kz,manual,True,True
"МЧС молодцы, на месте жұмыс істеп жатыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"ее, прикольный мем таңдаған екен",mixed,,mixed,1.0,False,,kz,manual,True,True
"Вовремя почистили, бюджетке де жеңілдеу болады",mixed,,mixed,1.0,False,,kz,manual,True,True
"Главное, диалог үзілмей тұр ғой",mixed,,mixed,1.0,False,,kz,manual,True,True
"Правильно, учитель өз ісімен айналыссын, басқамен жүктемесе жұмыс сапасы өседі",mixed,,mixed,1.0,False,,kz,manual,True,True
"Правильно сделали, ребята елдің атын шығарып жатыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Цифры обнадеживают, лечение развивается, протонная терапия вообще жаңа деңгей",mixed,,mixed,1.0,False,,kz,manual,True,True
"Погода не шутит, сақ болыңдар",mixed,,mixed,1.0,False,,kz,manual,True,True
"Оперативно сработали, малышу помощь дер кезінде көрсетілді",mixed,,mixed,1.0,False,,kz,manual,True,True
Құтты болсын Миша ты мужик алға!,mixed,,mixed,1.0,False,,kz,manual,True,True
"Запас прочный, алға қойған жоспар бар",mixed,,mixed,1.0,False,,kz,manual,True,True
"Главное, референдум ашық өтсе, қалғаны шешіледі",mixed,,mixed,1.0,False,,kz,manual,True,True
"Водолазы ДЧС оперативно жұмыс істеді, бірақ өкінішті жағдай екен",mixed,,mixed,1.0,False,,kz,manual,True,True
Осылар табиғатты ойламай ма вообще,mixed,,mixed,1.0,False,,kz,manual,True,True
"Красавчик, молодец Федоров, елдің атын шығарып жүр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Приветствуем новых послов, с такими странами туризм мен мәдени байланыс өседі",mixed,,mixed,1.0,False,,kz,manual,True,True
"Связи с Ираном даёт өзара пайда, сауда, жаңа мүмкіндіктер",mixed,,mixed,1.0,False,,kz,manual,True,True
"Оперативно сработали, порядок керек бәрібір",mixed,,mixed,1.0,False,,kz,manual,True,True
"Учитывая, что часть нарушений уже устранили, дұрыс шешім сияқты",mixed,,mixed,1.0,False,,kz,manual,True,True
"Норм неделя, полиция красавцы, боксшылар да қуантты",mixed,,mixed,1.0,False,,kz,manual,True,True
"Пожарные шапшаң келіп жатыр, бәрін бақылап тұр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Иногда реально дышать нечем, қысқартқан дұрыс время на улице",mixed,,mixed,1.0,False,,kz,manual,True,True
"Молодец Бакытжан, қазақтың баласы Парижде жүлде алды ғой",mixed,,mixed,1.0,False,,kz,manual,True,True
"Тенге закрепить в Конституции — правильно, ұлттық валюта біржола айқын болады",mixed,,mixed,1.0,False,,kz,manual,True,True
"Хорошо, даму мен қауіпсіздік үшін маңызды кездесу екен. Жақсы бағыт сияқты.",mixed,,mixed,1.0,False,,kz,manual,True,True
"Интересные новости, мирде бәрі өзгеріп жатыр екен",mixed,,mixed,1.0,False,,kz,manual,True,True
"Сотрудничество с Пакистаном нам пайдалы — рынок ашылады, сауда күшейеді",mixed,,mixed,1.0,False,,kz,manual,True,True
Казахша тил билсе кз азаматын беруге болады ғой.,kz,,mixed,1.0,False,,kz,manual,True,True
"Хорошо, что заранее бәрін дайындап жатыр, көктемге дайындық маңызды",mixed,,mixed,1.0,False,,kz,manual,True,True
"С Пакистаном байланыс күшейсе, саудаға да пайдасы тиеді",mixed,,mixed,1.0,False,,kz,manual,True,True
"Сабыр, процесс жүріп жатыр ғо. Депутат түсіндіріп жатыр, бәрі заңға сай сияқты.",kz,,mixed,1.0,False,,kz,manual,True,True
"Спасибо за предупреждение, жолда абай болған дұрыс",mixed,,mixed,1.0,False,,kz,manual,True,True
"Видимо, жаңарту керек болған шығар",mixed,,mixed,1.0,False,,kz,manual,True,True
"Чуть-чуть өсті, бірақ қатты өзгеріс жоқ сияқты",mixed,,mixed,1.0,False,,kz,manual,True,True
Президент красавчик!!! Давно пора! Қазақстан алға!!!,mixed,,mixed,1.0,False,,kz,manual,True,True
"Работа кипит, решения принимаются, жаңа тағайындаулар да бар — қозғалыс бар, бәрі бақылауда",mixed,,mixed,1.0,False,,kz,manual,True,True
"Алга Лена , Алга Қазақстан  - удачи и успехов ..",mixed,,mixed,1.0,False,,kz,manual,True,True
"По делу говорит, безопасность бәрінен маңызды",mixed,,mixed,1.0,False,,kz,manual,True,True
"Видно, жаңа адам керек болған шығар",mixed,,mixed,1.0,False,,kz,manual,True,True
"Правильно сделали, безопасность балаларға бірінші орында",mixed,,mixed,1.0,False,,kz,manual,True,True
"Детей қорғау керек, цифрлық қауіпсіздікке мән беріп жатыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Для туризма үлкен плюс, елге келетін адам көбейеді",mixed,,mixed,1.0,False,,kz,manual,True,True
"Обновленная Конституцияға басымдық бергені дұрыс, заң саласында нақты қадам жасалып жатыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Ну, безопасность үшін жасап жатыр ғой",mixed,,mixed,1.0,False,,kz,manual,True,True
"Проверка идет, значит, бәрі ашық болады",mixed,,mixed,1.0,False,,kz,manual,True,True
"Серьёзные перемены идут, қоғам да қосылып жатыр, бастысы — бәрі ашық талқыланып жатыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Динамика прям мощная, глобальный рынок раскачал бәрін",mixed,,mixed,1.0,False,,kz,manual,True,True
"Хорошо, поздравляю. Тәжірибесі бар сияқты ",mixed,,mixed,1.0,False,,kz,manual,True,True
"Так держать, безопасность ребятқа маңызды, обновление керек еді",mixed,,mixed,1.0,False,,kz,manual,True,True
"Қарап жатыр, процесс жүріп жатыр ғо. Көрейік, қалай болар екен.",kz,,mixed,1.0,False,,kz,manual,True,True
"Ну, по погоде дұрыс шешім сияқты",mixed,,mixed,1.0,False,,kz,manual,True,True
"Удобно будет, аэропортқа дейін метро жетсе, халыққа жақсы болады",mixed,,mixed,1.0,False,,kz,manual,True,True
Теперь дипломмен Азия жаққа да жол ашылады екен,mixed,,mixed,1.0,False,,kz,manual,True,True
"Общие правила нужны, экспортқа қолайлы болады",mixed,,mixed,1.0,False,,kz,manual,True,True
"Сабыр сақтайық, процесс бақылауда ғой. Жағдайды министрлік қарап жатыр, экспортты да реттейді.",kz,,mixed,1.0,False,,kz,manual,True,True
"Поздравляю, тек сәттілік тілейміз! Сыйластығымыз жараса берсін",mixed,,mixed,1.0,False,,kz,manual,True,True
"Опыт есть, жұмысты алып кетеді",mixed,,mixed,1.0,False,,kz,manual,True,True
"Работает же система, синтетикаға қарсы шынымен шаралар бар екен",mixed,,mixed,1.0,False,,kz,manual,True,True
"Мынау кәдімгідей пайдалы инфо екен, бәрін уақытында жаңартып алған дұрыс",kz,,mixed,1.0,False,,kz,manual,True,True
"В Дании спокойно живут, сол себепті Америкаға асықпайды",mixed,,mixed,1.0,False,,kz,manual,True,True
"Не зарекайся, Алла тағала ешкімге ондай сынақ бермесін, олардың басындай қандай қиындықтар өткенін білмейсінғой!",mixed,,mixed,1.0,False,,kz,manual,True,True
"Соболезную родным, ауыр қайғы екен",mixed,,mixed,1.0,False,,kz,manual,True,True
Погоду қадағалап жүрген дұрыс екен,mixed,,mixed,1.0,False,,kz,manual,True,True
"Хорошо сработали, столько затыкали бы — улицы спокойнее болушь еді",mixed,,mixed,1.0,False,,kz,manual,True,True
"Разбираются уже, просто так ешкімді қамауға алмайды",mixed,,mixed,1.0,False,,kz,manual,True,True
"Нагрузка үлкен, но реагируют быстро, молодцы",mixed,,mixed,1.0,False,,kz,manual,True,True
"Бывает, техника задерживается, но аэропорт жұмыс істеп жатыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Погода да әсер еткен шығар, главное, аэропорт өз жұмысын стоп қоймай істеп жатыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Чуть жеңілдетілген сияқты, фермерлерге де жақсы бонус",mixed,,mixed,1.0,False,,kz,manual,True,True
"Защиту медиков күшейту керек еді, дұрыс қадам",mixed,,mixed,1.0,False,,kz,manual,True,True
"Внимательнее болу керек, переездда асықпау керек",mixed,,mixed,1.0,False,,kz,manual,True,True
"Удобно сделали, самому таңдауға мүмкіндік бар енді",mixed,,mixed,1.0,False,,kz,manual,True,True
Екі азамат аман есен табылсын,kz,,mixed,1.0,False,,kz,manual,True,True
"Логично, что КНБ подключили — инфобезопасность қазір маңызды же",mixed,,mixed,1.0,False,,kz,manual,True,True
"Посмотрим, что суд решеді, нақты деректер керек",mixed,,mixed,1.0,False,,kz,manual,True,True
Это правильно. Бауыржан Момышұлы — нағыз батыр ғо.,mixed,,mixed,1.0,False,,kz,manual,True,True
"Нормально, демалыс күндері жеткілікті екен",mixed,,mixed,1.0,False,,kz,manual,True,True
"Работают по-новому, прозрачность қосып жатыр, жаңа клиенттер тартылып жатыр ғой",mixed,,mixed,1.0,False,,kz,manual,True,True
"Давно надо было, врачтарды қорғау керек",mixed,,mixed,1.0,False,,kz,manual,True,True
"Молодец Абиба, мықты нәтиже показала",mixed,,mixed,1.0,False,,kz,manual,True,True
"Ну, пока хоть бағалар ұстап тұр ғой",mixed,,mixed,1.0,False,,kz,manual,True,True
"Вовремя поддержали малый бизнес, бухучет бәріне оңай болмайды ведь",mixed,,mixed,1.0,False,,kz,manual,True,True
"Нормально предупредили, балаларға абай болу керек екен",mixed,,mixed,1.0,False,,kz,manual,True,True
"Сондай-ақ Астана энергетика саласында, оның ішінде дәстүрлі ресурстарды «жасыл» технологиялармен ұштастыру бағытында жапондық инвестициялар мен озық тәжірибеге мүдделі екенін білдірді",kz,,mixed,1.0,False,,kz,manual,True,True
"Молодцы парни, жақсы нәтиже көрсетті ғой",mixed,,mixed,1.0,False,,kz,manual,True,True
"Астана прям жарқырайды екен, атмосферасы басқаша болайын деп тұр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Вовремя обновили, юристтерге жеңілдік болады",mixed,,mixed,1.0,False,,kz,manual,True,True
"Без атома дальше не өсуге болмайды, заман соған келді",mixed,,mixed,1.0,False,,kz,manual,True,True
"Реально ерлік қой, осындай жігіттер аман жүрсін",mixed,,mixed,1.0,False,,kz,manual,True,True
"Работают, видно что ускоряют процесс, новые ВПУ заранее әкелгені дұрыс болған",mixed,,mixed,1.0,False,,kz,manual,True,True
Развязка көп салмаса болмайды автокөлік копүйіп жатыр,mixed,,mixed,1.0,False,,kz,manual,True,True
"С Ираном история қызық болды, архивтерден тағы не шығады екен",mixed,,mixed,1.0,False,,kz,manual,True,True
"Арест наложили, организатор қамауда — енді шығын қайтарылуы керек",mixed,,mixed,1.0,False,,kz,manual,True,True
"Вода — бәрімізге ортақ, дұрыс қадам",mixed,,mixed,1.0,False,,kz,manual,True,True
"Безопасность бірінші орында, дұрыс жасап жатыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"МЧС быстро среагировали, инфо сразу берді",mixed,,mixed,1.0,False,,kz,manual,True,True
ТЖМ молодцы дурыс хабар бері,mixed,,mixed,1.0,False,,kz,manual,True,True
"Оперативно сработали, инфу бақылап отыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Полезная инфа, сейчас аферистов реально көп",mixed,,mixed,1.0,False,,kz,manual,True,True
"Теперь бәрі сотта шешіледі, қаралып жатыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Таза рабочая атмосфера лидеры жиналды, қауіпсіздік мәселелерін ашық айтты",mixed,,mixed,1.0,False,,kz,manual,True,True
"Иманы саламат болсын, Аллаһ алдынан жарылқасын. Ей бы жить да жить",mixed,,mixed,1.0,False,,kz,manual,True,True
"Мен, екі мемлекет арасындағы ынтымақтастық ты қолдаймын! Пусть будет мир во всём мире!",mixed,,mixed,1.0,False,,kz,manual,True,True
"Елена, гордимся тобой! Вдохновляешь всех нас своим примером. Алга, Қазақстан! ",mixed,,mixed,1.0,False,,kz,manual,True,True
"Работают нормально, техника жеткілікті екен",mixed,,mixed,1.0,False,,kz,manual,True,True
"Ай, өзің де тыныш жүрмейсіңбе басқа қалада Астанада жүрсің  слов нет ",mixed,,mixed,1.0,False,,kz,manual,True,True
"Красавчик парень, уважуха, что казахша үйреніп жүр,молодец",mixed,,mixed,1.0,False,,kz,manual,True,True
"Красота, конечно, космос — бөлек әлем",mixed,,mixed,1.0,False,,kz,manual,True,True
"Хорошо, что с Азербайджаном байланыс күшейіп жатыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Госинтерес защитили, прокуратура жұмысты дұрыс істеп жатыр екен",mixed,,mixed,1.0,False,,kz,manual,True,True
"Взаимные поездки теперь проще будут, қосымша мүмкіндік ашылады",mixed,,mixed,1.0,False,,kz,manual,True,True
"Видно, скрининг күшейту керек сияқты",mixed,,mixed,1.0,False,,kz,manual,True,True
"Нормально, теперь и порядок, и контроль күшейген сияқты",mixed,,mixed,1.0,False,,kz,manual,True,True
"Жақсы, теперь сот шешімін күтейік",mixed,,mixed,1.0,False,,kz,manual,True,True
"Хорошая инициатива, парки зеленее болады, студенттерге де, қалаға да ауа керек",mixed,,mixed,1.0,False,,kz,manual,True,True
"Послы обновляются, байланыс кеңейіп жатыр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Ну, теперь очередь быстрее болады ғой, биометрия бәрібір керек нәрсе",mixed,,mixed,1.0,False,,kz,manual,True,True
"Хоть бы соғыс тоқтаса, халыққа азық жетсе екен",mixed,,mixed,1.0,False,,kz,manual,True,True
"Жақсы ой, осындай экожобалар керек-ақ",kz,,mixed,1.0,False,,kz,manual,True,True
Молодец Зангар! Қазақстанның атын шығарып жатыр.,mixed,,mixed,1.0,False,,kz,manual,True,True
"Везде шиеленіс, тыныштық жетіспейді екен",mixed,,mixed,1.0,False,,kz,manual,True,True
"Рабочие места болады, өңірге серпін береді",mixed,,mixed,1.0,False,,kz,manual,True,True
"Токаев молодец, осындай форумдар елге пайдасын береді",mixed,,mixed,1.0,False,,kz,manual,True,True
"Ну вообще логика бар, подделудан қорғау керек қой",mixed,,mixed,1.0,False,,kz,manual,True,True
"Керемет жеңіс, жарайсың Зангар! ",kz,,mixed,1.0,False,,kz,manual,True,True
Қайдағы участковый толпа жүр ғо,mixed,,mixed,1.0,False,,kz,manual,True,True
"Работают ребята, малышу шұғыл көмек жетті",mixed,,mixed,1.0,False,,kz,manual,True,True
"Мир не тыныш қой, әр жерде қозғалыс көп екен",mixed,,mixed,1.0,False,,kz,manual,True,True
"Для народа это прям жеңілдік, инфляцияны ұстап тұр ғой",mixed,,mixed,1.0,False,,kz,manual,True,True
"Сразу реагируют, раньше вообще внимания бермейтін еді",mixed,,mixed,1.0,False,,kz,manual,True,True
"За рулем тәртіп керек, әйтпесе шекарадан өтпейсің",mixed,,mixed,1.0,False,,kz,manual,True,True
"Всё правильно, антикорға нақты механизм керек еді",mixed,,mixed,1.0,False,,kz,manual,True,True
"Работа депутатов да оңай емес, бәрі ай сайын есеп береді, ақшасы соған сай бөлінеді",mixed,,mixed,1.0,False,,kz,manual,True,True
Неге қордан қаржы жұмсалады екен. Халық барлық құжаттарды ақысын төлеп алады емес пе? Жүргізуші куәлігін бағасын азайту керек демек.,kz,,mixed,1.0,False,,kz,manual,True,True
"Вовремя начали, соцобъекты бірінші қосылғаны дұрыс",mixed,,mixed,1.0,False,,kz,manual,True,True
"Порядок керек, заңды бұзғандар жауап береді",mixed,,mixed,1.0,False,,kz,manual,True,True
"Врачам стимул керек, медиктердің еңбегі бағаланғаны дұрыс қой",mixed,,mixed,1.0,False,,kz,manual,True,True
"Красавица, молодец же, үшінші медаль алып тұр",mixed,,mixed,1.0,False,,kz,manual,True,True
"Всё равно полиция қарап жатыр ғой, ұстайды әлі",mixed,,mixed,1.0,False,,kz,manual,True,True
"Удобно придумали, быстрее әрі қауіпсіз болады",mixed,,mixed,1.0,False,,kz,manual,True,True
"Зангар красавчик, әлемдік рейтингте өскені қуантады",mixed,,mixed,1.0,False,,kz,manual,True,True
